element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
447,3,16,14,True,2019-08-10T14:00:00Z,3,0,1,90,0,2,1,0,0,0,0,0,0,0,2,43,56.8,25.1,1.0,8.3,45,0,9332,0,0
447,11,1,1,False,2019-08-17T11:30:00Z,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,18,16.8,5.3,1.0,2.3,45,103519,210815,120857,17338
447,30,20,2,False,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,7,4.6,11.3,1.0,1.7,46,122132,367103,162133,40001
447,32,10,1,True,2019-08-31T16:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,12,21.4,1.3,0.0,2.3,46,88980,474289,134574,45594
447,43,4,2,False,2019-09-14T14:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,21,19.2,15.9,0.0,3.5,47,165575,660147,216103,50528
447,52,14,7,True,2019-09-21T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,1,27,16.6,13.7,0.0,3.0,47,21542,678654,54374,32832
447,61,2,6,False,2019-09-28T14:00:00Z,2,2,7,90,0,1,0,2,0,0,0,0,0,0,2,27,33.0,29.2,0.0,6.2,47,117151,808878,141942,24791
447,73,8,1,True,2019-10-05T14:00:00Z,1,0,8,54,0,0,0,0,0,0,0,0,0,0,0,5,4.8,14.6,1.0,2.0,48,74056,888618,90963,16907
447,86,9,1,False,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,10,16.2,1.8,0.0,1.8,48,-52826,826755,20584,73410
447,93,6,-1,True,2019-10-26T16:30:00Z,2,4,10,90,0,0,0,4,0,0,0,1,0,0,0,7,13.6,2.7,7.0,2.3,48,-10290,822497,15190,25480
447,108,15,0,False,2019-11-02T15:00:00Z,3,0,11,45,0,0,0,3,0,0,0,0,0,0,0,4,4.4,10.9,0.0,1.5,48,-28341,794330,14067,42408
447,111,19,0,True,2019-11-09T15:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-52731,741949,6396,59127
447,129,18,0,False,2019-11-23T15:00:00Z,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-74134,668178,4356,78490
447,131,7,0,True,2019-11-30T15:00:00Z,0,2,14,54,0,0,0,2,0,0,0,0,0,0,0,-1,0.0,0.8,8.0,0.7,46,-84322,585112,1879,86201
447,142,11,0,True,2019-12-03T20:15:00Z,1,4,15,90,0,0,0,4,0,0,0,0,0,0,0,8,5.2,0.8,0.0,0.6,46,-54933,532556,233,55166
447,158,17,0,False,2019-12-07T15:00:00Z,5,0,16,90,0,0,0,5,0,0,0,0,0,0,0,12,17.2,16.8,4.0,3.8,45,-39369,494140,762,40131
447,162,13,8,True,2019-12-14T15:00:00Z,1,0,17,90,0,0,1,0,0,0,0,0,0,0,2,26,8.8,2.5,0.0,1.1,45,-26465,467935,3103,29568
447,172,3,0,False,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-490,468320,7882,8372
447,185,8,0,False,2019-12-26T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-19540,449147,1774,21314
447,193,12,0,True,2019-12-28T19:45:00Z,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-23105,426207,654,23759
447,203,2,0,True,2020-01-01T12:30:00Z,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-30166,397051,3252,33418
447,213,6,0,False,2020-01-11T15:00:00Z,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-27394,369801,975,28369
447,223,9,0,True,2020-01-19T14:00:00Z,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-19357,350528,1083,20440
447,235,12,0,False,2020-01-22T20:15:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-14400,334422,433,14833
447,242,1,0,True,2020-02-02T14:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-11993,324407,644,12637
447,259,16,0,False,2020-02-15T12:30:00Z,1,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-8007,316670,617,8624
447,262,3,0,True,2020-02-22T15:00:00Z,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-5232,311770,2356,7588
