element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
544,57,18,1,True,2019-09-21T14:00:00Z,8,0,6,27,0,0,0,0,0,0,0,0,0,0,0,4,9.6,0.6,0.0,1.0,45,0,0,0,0
544,65,8,0,False,2019-09-28T16:30:00Z,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,265,466,316,51
544,75,20,0,True,2019-10-06T13:00:00Z,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,30,656,130,100
544,84,7,0,False,2019-10-19T16:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,24,863,132,108
544,95,2,0,True,2019-10-26T11:30:00Z,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3,965,74,77
544,107,16,0,True,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,6,1129,117,111
544,114,10,0,False,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11,1243,89,100
544,127,6,0,True,2019-11-23T17:30:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-23,1392,100,123
544,136,13,0,False,2019-11-30T12:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,5,1497,100,95
544,142,5,1,False,2019-12-03T20:15:00Z,1,4,15,5,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,45,-34,1525,48,82
544,155,12,0,True,2019-12-07T17:30:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,14,1608,76,62
544,161,1,0,False,2019-12-15T16:30:00Z,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-26,1723,97,123
544,175,9,0,True,2019-12-21T17:30:00Z,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,18,1892,131,113
544,190,20,0,False,2019-12-27T19:45:00Z,3,2,19,45,0,0,0,3,0,0,0,0,0,0,0,6,10.8,0.3,0.0,1.1,45,1,1963,92,91
544,195,15,6,True,2019-12-29T18:00:00Z,2,0,20,90,0,0,1,0,0,0,0,0,0,0,0,27,16.6,2.8,0.0,1.9,45,45,2080,102,57
544,205,8,2,True,2020-01-01T17:30:00Z,2,1,21,90,0,0,0,1,0,0,0,0,0,0,0,15,19.2,1.8,0.0,2.1,45,1471,3728,1819,348
544,211,2,0,False,2020-01-12T16:30:00Z,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,2185,6138,3173,988
544,225,7,0,True,2020-01-18T15:00:00Z,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1115,5092,360,1475
544,236,15,1,False,2020-01-21T19:30:00Z,0,1,24,12,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,0.0,0.3,45,-928,4188,111,1039
544,248,17,0,False,2020-02-02T16:30:00Z,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-364,3996,123,487
