element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
318,3,5,0,False,2019-08-10T14:00:00Z,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,45934,0,0
318,19,10,0,True,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5860,41260,144,6004
318,23,4,0,False,2019-08-24T14:00:00Z,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4332,37397,101,4433
318,39,12,0,True,2019-08-31T11:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2983,35208,679,3662
318,47,15,0,False,2019-09-14T14:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2200,33572,679,2879
318,59,3,0,True,2019-09-20T19:00:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1404,32489,375,1779
318,69,17,0,False,2019-09-28T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2020,30621,195,2215
318,78,6,0,True,2019-10-06T13:00:00Z,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1703,28899,20,1723
318,90,20,0,False,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-860,28335,394,1254
318,98,9,0,True,2019-10-25T19:00:00Z,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-402,28024,225,627
318,107,11,1,False,2019-11-02T15:00:00Z,2,1,11,90,0,0,0,2,0,0,0,0,0,2,0,12,18.4,0.0,0.0,1.8,43,-642,27463,188,830
318,118,8,2,True,2019-11-09T15:00:00Z,1,2,12,90,0,0,0,2,0,0,0,0,0,3,0,15,24.6,0.0,0.0,2.5,43,828,28633,1573,745
318,121,1,2,False,2019-11-23T15:00:00Z,2,2,13,90,0,0,0,2,0,0,0,0,0,3,0,15,27.2,0.0,0.0,2.7,43,2487,31515,3822,1335
318,138,18,2,True,2019-11-30T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,2,0,13,18.0,0.0,0.0,1.8,43,5344,37519,6658,1314
318,150,14,2,True,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,1,0,0,0,0,0,2,0,12,14.0,0.0,0.0,1.4,43,2725,40083,3832,1107
318,156,13,2,False,2019-12-08T14:00:00Z,2,1,16,90,0,0,0,2,0,0,0,0,0,4,0,17,28.0,0.0,0.0,2.8,43,1145,41430,2360,1215
318,169,19,3,True,2019-12-14T17:30:00Z,0,1,17,90,0,0,0,1,0,0,0,0,0,3,0,15,27.0,0.0,0.0,2.7,43,1959,43867,3695,1736
318,171,2,3,False,2019-12-21T15:00:00Z,1,3,18,90,0,0,0,1,0,0,0,0,0,5,0,20,30.8,0.0,0.0,3.1,43,1987,46916,3699,1712
318,183,6,7,False,2019-12-26T15:00:00Z,0,2,19,90,0,0,1,0,0,0,0,0,0,3,0,26,29.2,0.0,0.0,2.9,43,2296,48834,4404,2108
318,198,7,2,True,2019-12-28T15:00:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,1,0,9,9.6,0.0,0.0,1.0,43,10821,60961,12139,1318
318,208,17,8,True,2020-01-01T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,5,1,31,33.8,0.0,0.0,3.4,43,11525,72480,17912,6387
318,216,9,3,False,2020-01-11T15:00:00Z,1,2,22,90,0,0,0,1,0,0,0,0,0,4,0,17,29.0,0.0,0.0,2.9,43,47390,121896,56167,8777
318,228,20,1,True,2020-01-18T15:00:00Z,2,3,23,90,0,0,0,3,0,0,0,0,0,1,0,9,11.0,0.0,0.0,1.1,44,81021,204624,89510,8489
318,239,7,6,False,2020-01-21T19:30:00Z,0,2,24,90,0,0,1,0,0,0,0,0,0,0,0,20,1.4,0.0,0.0,0.1,44,14156,218805,23653,9497
318,245,10,1,False,2020-02-01T15:00:00Z,4,0,25,90,0,0,0,4,0,0,0,0,0,5,0,19,37.2,0.0,0.0,3.7,44,32986,252136,47083,14097
318,259,5,0,True,2020-02-15T12:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,26434,279310,33236,6802
