element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
44,7,18,2,False,2019-08-10T14:00:00Z,0,3,1,63,0,0,1,0,0,0,0,0,0,0,0,0,4.2,3.1,4.0,1.1,60,0,209377,0,0
44,13,19,2,True,2019-08-17T14:00:00Z,1,1,2,73,0,0,0,1,0,0,0,0,0,0,0,4,0.0,13.3,8.0,2.1,60,-13347,204727,14182,27529
44,23,16,1,True,2019-08-24T14:00:00Z,0,2,3,16,0,0,0,1,0,0,0,0,0,0,0,5,0.0,10.3,4.0,1.3,60,-30865,175907,12683,43548
44,37,11,1,False,2019-08-31T14:00:00Z,4,0,4,23,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,59,-52915,123652,2218,55133
44,43,5,2,True,2019-09-14T14:00:00Z,1,1,5,79,0,0,1,0,0,0,0,0,0,0,0,-3,2.4,1.8,28.0,3.2,58,-19875,105700,3812,23687
44,58,13,0,False,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-13951,92334,1294,15245
44,63,6,1,False,2019-09-28T14:00:00Z,2,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,1.0,0.0,57,-12718,79925,1102,13820
44,72,17,1,True,2019-10-05T11:30:00Z,3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,57,-6385,73828,643,7028
44,81,2,0,False,2019-10-19T14:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-4559,69626,1030,5589
44,92,8,1,True,2019-10-26T14:00:00Z,3,2,10,10,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0.5,0.0,0.2,56,-2447,67400,648,3095
44,104,14,0,True,2019-11-02T15:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-2175,65424,1524,3699
44,115,12,1,False,2019-11-10T14:00:00Z,3,1,12,45,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.3,0.0,0.0,56,-2816,62579,349,3165
44,124,9,1,True,2019-11-23T15:00:00Z,0,2,13,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,55,-2088,60730,825,2913
44,134,10,0,False,2019-11-30T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1218,59658,599,1817
44,141,1,0,False,2019-12-05T20:15:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-823,58910,455,1278
44,153,20,1,True,2019-12-08T16:30:00Z,2,2,16,22,0,0,0,0,0,0,0,0,0,0,0,1,2.2,0.5,0.0,0.3,55,-1112,57816,433,1545
44,164,7,0,False,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1280,56609,525,1805
44,173,15,1,True,2019-12-21T15:00:00Z,0,1,18,45,0,0,0,0,0,0,0,0,0,0,0,-2,0.8,4.2,4.0,0.9,55,-884,55759,473,1357
44,189,17,0,False,2019-12-26T12:30:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-678,55245,282,960
44,192,3,1,True,2019-12-28T12:30:00Z,2,0,20,1,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0.3,17.0,2.0,55,-570,54740,301,871
44,202,6,0,True,2020-01-01T12:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-767,54033,371,1138
44,215,8,1,False,2020-01-11T15:00:00Z,1,0,22,18,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,0.5,23.0,2.5,55,-1424,52664,283,1707
44,222,2,1,True,2020-01-18T15:00:00Z,1,1,23,9,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,54,-273,52510,767,1040
44,232,3,0,False,2020-01-21T19:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-70,52519,572,642
44,250,19,6,False,2020-02-01T15:00:00Z,3,3,25,90,1,0,0,3,0,0,0,0,0,0,0,25,36.2,7.8,54.0,9.8,54,-327,52254,670,997
44,253,18,2,True,2020-02-08T17:30:00Z,1,1,26,90,0,0,0,1,0,0,0,0,0,0,0,2,2.8,1.3,28.0,3.2,54,2706,55304,3492,786
