element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
319,3,5,1,False,2019-08-10T14:00:00Z,3,0,1,90,0,0,0,3,0,0,0,0,0,1,0,10,9.8,0.0,0.0,1.0,45,0,49447,0,0
319,19,10,2,True,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,2,0,0,0,0,0,4,0,16,30.2,0.0,0.0,3.0,45,-3047,49588,1311,4358
319,23,4,7,False,2019-08-24T14:00:00Z,0,2,3,90,0,0,1,0,0,0,0,0,0,3,0,26,21.6,0.0,0.0,2.2,45,-356,51272,3113,3469
319,39,12,5,True,2019-08-31T11:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,7,1,23,45.8,0.0,0.0,4.6,45,8635,64626,14328,5693
319,47,15,9,False,2019-09-14T14:00:00Z,0,1,5,90,0,0,1,0,0,0,0,0,0,4,2,28,27.0,0.0,0.0,2.7,45,34082,107820,44290,10208
319,59,3,1,True,2019-09-20T19:00:00Z,1,3,6,90,0,0,0,3,0,0,0,0,0,0,0,7,1.6,0.0,0.0,0.2,45,105938,234026,115066,9128
319,69,17,1,False,2019-09-28T14:00:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,2,0,11,17.8,0.0,0.0,1.8,45,16366,250035,41114,24748
319,78,6,1,True,2019-10-06T13:00:00Z,1,4,8,90,0,0,0,4,0,0,0,0,0,3,0,14,17.8,0.0,0.0,1.8,45,-6814,242592,8043,14857
319,90,20,2,False,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,9,1.0,0.0,0.0,0.1,45,-10184,233529,4181,14365
319,98,9,0,True,2019-10-25T19:00:00Z,0,9,10,90,0,0,0,9,0,0,0,0,0,6,0,22,46.8,0.0,0.0,4.7,45,-6103,228331,2545,8648
319,107,11,0,False,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-21793,206201,580,22373
319,118,8,0,True,2019-11-09T15:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-15281,191293,657,15938
319,121,1,0,False,2019-11-23T15:00:00Z,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-16650,175129,993,17643
319,138,18,0,True,2019-11-30T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-8532,167371,1821,10353
319,150,14,0,True,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10220,157628,719,10939
319,156,13,0,False,2019-12-08T14:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-9225,148530,361,9586
319,169,19,0,True,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-6317,142593,1436,7753
319,171,2,0,False,2019-12-21T15:00:00Z,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-5211,136725,882,6093
319,183,6,0,False,2019-12-26T15:00:00Z,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-5023,132778,740,5763
319,198,7,0,True,2019-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3267,129766,914,4181
319,208,17,0,True,2020-01-01T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-4898,125104,1636,6534
319,216,9,0,False,2020-01-11T15:00:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-5456,119779,1004,6460
319,228,20,0,True,2020-01-18T15:00:00Z,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-4257,115639,1227,5484
319,239,7,0,False,2020-01-21T19:30:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2647,112807,1153,3800
319,245,10,0,False,2020-02-01T15:00:00Z,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-3060,110120,1314,4374
319,259,5,0,True,2020-02-15T12:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1745,108562,985,2730
