element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
14,10,13,7,False,2019-08-11T13:00:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,2,1,27,18.0,0.0,0.0,1.8,50,0,276322,0,0
14,11,5,3,True,2019-08-17T11:30:00Z,2,1,2,90,0,0,0,1,0,0,0,0,0,3,0,15,26.4,0.0,0.0,2.6,50,90465,443302,113328,22863
14,24,10,1,False,2019-08-24T16:30:00Z,3,1,3,90,0,0,0,3,0,0,0,0,0,2,0,13,19.0,0.0,0.0,1.9,50,-41727,409348,23145,64872
14,31,17,3,True,2019-09-01T15:30:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,7,0,21,29.6,0.0,0.0,3.0,50,-21012,402670,19796,40808
14,49,18,2,False,2019-09-15T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,1,0,8,0,21,45.4,0.0,0.0,4.5,50,-1074,415601,28035,29109
14,51,2,2,True,2019-09-22T15:30:00Z,3,2,6,90,0,0,0,2,0,0,0,1,0,7,0,20,37.4,0.0,0.0,3.7,50,1093,423237,20277,19184
14,67,12,3,False,2019-09-30T19:00:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,3,0,13,18.6,0.0,0.0,1.9,50,-26428,397350,7202,33630
14,71,3,6,True,2019-10-06T13:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,2,0,24,15.0,0.0,0.0,1.5,50,17314,422070,31190,13876
14,88,15,2,False,2019-10-21T19:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,1,0,14,9.2,0.0,0.0,0.9,50,25910,453397,39293,13383
14,91,7,1,True,2019-10-27T16:30:00Z,2,2,10,90,0,0,0,2,0,0,0,0,0,2,0,13,18.4,0.0,0.0,1.8,50,-3205,450831,10474,13679
14,101,20,4,True,2019-11-02T15:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,7,0,23,51.2,0.0,0.0,5.1,50,-18954,433193,6033,24987
14,113,9,2,False,2019-11-09T17:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,5,0,22,42.4,0.0,0.0,4.2,50,-15265,418549,3591,18856
14,121,16,9,True,2019-11-23T15:00:00Z,2,2,13,90,0,0,0,2,0,1,0,0,0,4,2,30,43.6,0.0,0.0,4.4,50,-1824,422958,16185,18009
14,137,14,3,False,2019-12-01T14:00:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,6,0,20,48.8,0.0,0.0,4.9,50,-1757,421399,10066,11823
14,141,4,3,True,2019-12-05T20:15:00Z,1,2,15,90,0,0,0,2,0,0,0,0,0,7,0,25,51.2,0.0,0.0,5.1,50,2338,425444,10722,8384
14,160,19,3,False,2019-12-09T20:00:00Z,1,3,16,90,0,0,0,1,0,0,0,0,0,3,0,19,22.0,0.0,0.0,2.2,50,-12211,413685,3771,15982
14,161,11,2,True,2019-12-15T16:30:00Z,0,3,17,90,0,0,0,3,0,0,0,0,0,4,0,16,26.4,0.0,0.0,2.6,50,-20851,394161,4000,24851
14,174,8,6,False,2019-12-21T12:30:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,21,5.2,0.0,0.0,0.5,50,-8721,386270,4438,13159
14,182,3,3,False,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,3,0,16,31.0,0.0,0.0,3.1,50,-1672,388593,5751,7423
14,191,6,1,True,2019-12-29T14:00:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,2,0,11,14.0,0.0,0.0,1.4,50,-6657,382500,2522,9179
14,201,12,9,True,2020-01-01T20:00:00Z,2,0,21,90,0,0,1,0,0,0,0,0,0,4,2,33,35.8,0.0,0.0,3.6,50,-13320,370542,3062,16382
14,214,7,2,False,2020-01-11T12:30:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,1,0,11,11.4,0.0,0.0,1.1,50,16722,391318,26543,9821
14,221,15,2,True,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,2,0,14,16.6,0.0,0.0,1.7,50,5115,398622,16962,11847
14,238,6,3,False,2020-01-21T20:15:00Z,2,2,24,90,0,0,0,2,0,0,0,0,0,6,0,20,42.0,0.0,0.0,4.2,50,-15064,381090,2188,17252
14,242,5,7,False,2020-02-02T14:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,2,1,26,17.0,0.0,0.0,1.7,50,-1298,384033,10989,12287
14,251,13,6,True,2020-02-16T16:30:00Z,4,0,26,90,0,0,1,0,0,0,0,0,0,2,0,25,14.4,0.0,0.0,1.4,50,1572,386715,8107,6535
14,261,8,0,True,2020-02-23T16:30:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-332,387625,6738,7070
