element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
454,1,10,0,False,2019-08-09T19:00:00Z,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,8583,0,0
454,17,13,1,True,2019-08-17T14:00:00Z,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,3,1.0,0.1,0.0,0.1,45,-911,8667,118,1029
454,26,6,0,True,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-541,8537,240,781
454,40,19,0,False,2019-08-31T14:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-526,8420,294,820
454,46,11,0,True,2019-09-14T16:30:00Z,3,2,5,90,0,0,0,2,0,0,0,1,0,0,0,11,37.8,1.0,18.0,5.7,44,-396,8378,385,781
454,52,5,1,False,2019-09-21T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,12,30.8,7.6,6.0,4.4,44,1293,10090,1859,566
454,64,7,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,121,10387,777,656
454,77,2,0,True,2019-10-05T14:00:00Z,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-494,9958,224,718
454,82,3,0,False,2019-10-19T14:00:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-534,9531,91,625
454,97,12,1,True,2019-10-27T16:30:00Z,1,3,10,24,0,0,0,1,0,0,0,0,0,0,0,2,2.6,0.3,2.0,0.5,44,-315,9294,56,371
454,104,4,0,False,2019-11-02T15:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-220,9171,112,332
454,117,18,0,True,2019-11-08T20:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-362,8826,49,411
454,126,8,5,False,2019-11-23T15:00:00Z,0,2,13,90,0,0,1,0,0,0,0,1,0,0,0,14,15.2,2.0,34.0,5.1,44,-324,8568,58,382
454,137,1,1,True,2019-12-01T14:00:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,12,28.4,2.5,2.0,3.3,44,-1,8659,164,165
454,150,16,0,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,1,0,0,0,2,11.6,2.3,29.0,4.3,44,-53,8629,80,133
454,157,15,1,True,2019-12-08T14:00:00Z,1,2,16,71,0,0,0,2,0,0,0,0,0,0,0,18,10.0,3.5,0.0,1.4,44,-92,8568,96,188
454,165,9,2,False,2019-12-14T15:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,14,17.4,3.4,6.0,2.7,44,-92,8533,111,203
454,177,20,0,True,2019-12-21T15:00:00Z,1,2,18,90,0,0,0,2,0,0,0,1,0,0,0,13,13.0,1.9,2.0,1.7,44,-15,8614,140,155
454,181,2,2,False,2019-12-26T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,0,0,7,14.4,12.3,38.0,6.5,44,-63,8558,111,174
454,197,17,0,True,2019-12-28T17:30:00Z,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-33,8562,89,122
454,207,7,2,True,2020-01-01T17:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,15,26.0,12.8,6.0,4.5,44,-57,8546,167,224
454,217,12,0,False,2020-01-11T15:00:00Z,4,0,22,90,0,0,0,4,0,0,0,0,0,0,0,17,19.6,14.6,2.0,3.6,44,-86,8537,139,225
454,227,3,8,True,2020-01-18T15:00:00Z,1,0,23,90,0,0,1,0,0,0,0,0,0,0,2,28,14.0,17.1,0.0,3.1,44,-55,8555,209,264
454,240,17,1,False,2020-01-22T19:30:00Z,2,1,24,90,0,0,0,2,0,0,0,0,0,0,0,12,18.6,22.3,4.0,4.5,44,154,8758,330,176
454,247,13,6,False,2020-02-01T15:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,19,10.4,4.4,69.0,8.4,44,-10,8783,211,221
454,257,10,0,True,2020-02-15T17:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,115,8946,262,147
