element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
341,6,2,0,True,2019-08-10T16:30:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,15962,0,0
341,16,11,0,False,2019-08-17T16:30:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1352,16593,305,1657
341,28,13,0,True,2019-08-25T15:30:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-967,16202,219,1186
341,31,1,0,False,2019-09-01T15:30:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-707,16005,167,874
341,48,7,0,True,2019-09-14T14:00:00Z,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-489,16011,317,806
341,56,9,2,False,2019-09-21T11:30:00Z,2,1,6,90,0,0,0,2,0,0,0,0,0,5,0,18,38.6,0.0,0.0,3.9,44,-229,16038,320,549
341,69,16,0,True,2019-09-28T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,1547,18432,2497,950
341,72,4,2,False,2019-10-05T11:30:00Z,3,0,8,82,0,0,0,2,0,0,0,0,0,3,0,19,22.6,0.0,0.0,2.3,44,-263,18246,511,774
341,89,18,2,True,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,1,0,9,7.2,0.0,0.0,0.7,44,56184,78652,59809,3625
341,94,10,8,False,2019-10-27T16:30:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,12,3,39,88.0,10.0,0.0,9.8,44,4302,80711,10844,6542
341,106,8,2,False,2019-11-03T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,2,0,12,19.6,0.0,0.0,2.0,44,51713,138519,54737,3024
341,119,15,3,True,2019-11-09T15:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,3,0,13,17.4,0.0,0.0,1.7,45,52140,195950,56133,3993
341,130,19,2,False,2019-11-23T12:30:00Z,2,3,13,90,0,0,0,2,0,0,0,0,0,3,0,13,18.4,0.0,0.0,1.8,45,55631,253253,63297,7666
341,139,3,2,True,2019-11-30T15:00:00Z,3,2,14,90,0,0,0,2,0,0,0,0,0,4,0,17,26.8,0.0,0.0,2.7,45,26135,279648,35963,9828
341,144,12,2,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,5,0,15,26.2,0.0,0.0,2.6,45,-3123,275248,12332,15455
341,158,5,6,True,2019-12-07T15:00:00Z,5,0,16,90,0,0,1,0,0,0,0,0,0,1,0,24,12.0,0.0,0.0,1.2,45,16298,295091,25618,9320
341,170,20,3,False,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,1,0,0,0,0,0,4,0,16,29.6,0.0,0.0,3.0,46,18398,315504,29201,10803
341,178,6,0,True,2019-12-22T16:30:00Z,0,2,18,90,0,0,0,2,0,0,0,1,0,1,0,3,0.0,0.0,0.0,0.0,46,-75,310014,11215,11290
341,189,4,3,True,2019-12-26T12:30:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,4,0,15,22.0,0.0,0.0,2.2,46,10820,329422,21813,10993
341,197,14,1,False,2019-12-28T17:30:00Z,2,2,20,90,0,0,0,2,0,0,0,0,0,1,0,10,9.6,0.0,0.0,1.0,46,8020,338435,17482,9462
341,208,16,2,False,2020-01-01T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,2,0,11,19.8,0.0,0.0,2.0,46,-14481,324768,14539,29020
341,219,10,3,True,2020-01-11T17:30:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,5,0,21,42.0,0.0,0.0,4.2,46,-37339,288253,12165,49504
341,229,18,14,False,2020-01-18T12:30:00Z,0,0,23,90,0,0,1,0,0,1,0,0,0,2,3,37,39.4,0.0,0.0,3.9,46,9094,299436,30030,20936
341,240,14,0,True,2020-01-22T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,41795,356463,51504,9709
341,248,11,0,True,2020-02-02T16:30:00Z,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-106170,235353,5773,111943
341,252,2,0,False,2020-02-16T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-43615,193598,2389,46004
